Category: All categories,,,
,,,
Week,Milkshake: (United States),Hamburger: (United States),Breakup: (United States)
1/28/2024,23,64,13
2/4/2024,26,67,20
2/11/2024,21,62,15
2/18/2024,24,67,29
2/25/2024,23,66,24
3/3/2024,24,68,16
3/10/2024,26,66,23
3/17/2024,25,64,18
3/24/2024,23,64,17
3/31/2024,20,65,14
4/7/2024,21,66,14
4/14/2024,23,70,19
4/21/2024,22,68,15
4/28/2024,22,70,13
5/5/2024,20,66,12
5/12/2024,21,69,13
5/19/2024,21,74,13
5/26/2024,22,100,13
6/2/2024,23,70,14
6/9/2024,22,69,17
6/16/2024,21,72,23
6/23/2024,22,72,13
6/30/2024,23,96,13
7/7/2024,24,71,14
7/14/2024,23,67,13
7/21/2024,21,70,13
7/28/2024,20,67,12
8/4/2024,22,66,10
8/11/2024,23,67,10
8/18/2024,21,72,11
8/25/2024,21,68,10
9/1/2024,20,66,16
9/8/2024,19,62,11
9/15/2024,19,69,12
9/22/2024,20,61,12
9/29/2024,19,61,13
10/6/2024,19,61,12
10/13/2024,19,63,13
10/20/2024,19,61,15
10/27/2024,18,60,13
11/3/2024,18,51,12
11/10/2024,21,58,13
11/17/2024,21,60,13
11/24/2024,16,51,12
12/1/2024,18,52,12
12/8/2024,18,55,13
12/15/2024,17,56,12
12/22/2024,16,57,13
12/29/2024,23,68,18
1/5/2025,25,64,13
1/12/2025,24,66,13
1/19/2025,22,65,13
1/26/2025,24,60,13
2/2/2025,28,65,14
2/9/2025,24,62,17
2/16/2025,25,66,15
2/23/2025,27,69,13
